id;date;price;bedrooms;bathrooms;floors;yr_built
7129300520;20141013T000000;221900;3;1;1;1955
6414100192;20141209T000000;538000;3;2.25;2;1951
5631500400;20150225T000000;180000;2;1;1;1933
2487200875;20141209T000000;604000;4;3;1;1965
1954400510;20150218T000000;510000;3;2;1;1987
7237550310;20140512T000000;1,23E+09;4;4.5;1;2001
1321400060;20140627T000000;257500;3;2.25;2;1995
2008000270;20150115T000000;291850;3;1.5;1;1963
2414600126;20150415T000000;229500;3;1;1;1960
3793500160;20150312T000000;323000;3;2.5;2;2003
1736800520;20150403T000000;662500;3;2.5;1;1965
9212900260;20140527T000000;468000;2;1;1;1942
114101516;20140528T000000;310000;3;1;1.5;1927
6054650070;20141007T000000;400000;3;1.75;1;1977
1175000570;20150312T000000;530000;5;2;1.5;1900
9297300055;20150124T000000;650000;4;3;2;1979
1875500060;20140731T000000;395000;3;2;2;1994
6865200140;20140529T000000;485000;4;1;1.5;1916
16000397;20141205T000000;189000;2;1;1;1921
7983200060;20150424T000000;230000;3;1;1;1969
6300500875;20140514T000000;385000;4;1.75;1;1947
2524049179;20140826T000000;2,00E+06;3;2.75;1;1968
7137970340;20140703T000000;285000;5;2.5;2;1995
8091400200;20140516T000000;252700;2;1.5;1;1985
3814700200;20141120T000000;329000;3;2.25;2;1985
1202000200;20141103T000000;233000;3;2;1.5;1941
1794500383;20140626T000000;937000;3;1.75;2;1915
3303700376;20141201T000000;667000;3;1;1.5;1909
5101402488;20140624T000000;438000;3;1.75;1;1948
1873100390;20150302T000000;719000;4;2.5;2;2005
8562750320;20141110T000000;580500;3;2.5;2;2003
2426039314;20141201T000000;280000;2;1.5;3;2005
461000390;20140624T000000;687500;4;1.75;1.5;1929
7589200193;20141110T000000;535000;3;1;1.5;1929
7955080270;20141203T000000;322500;4;2.75;1;1981
9547205180;20140613T000000;696000;3;2.5;1.5;1930
9435300030;20140528T000000;550000;4;1;1;1933
2768000400;20141230T000000;640000;4;2;2;1904
7895500070;20150213T000000;240000;4;1;1;1969
2078500320;20140620T000000;605000;4;2.5;2;1996
5547700270;20140715T000000;625000;4;2.5;2;2000
7766200013;20140811T000000;775000;4;2.25;1;1984
7203220400;20140707T000000;861990;5;2.75;2;2014
9270200160;20141028T000000;685000;3;1;2;1922
1432701230;20140729T000000;309000;3;1;1;1959
8035350320;20140718T000000;488000;3;2.5;2;2003
8945200830;20150325T000000;210490;3;1;1;1966
4178300310;20140716T000000;785000;4;2.5;2;1981
9215400105;20150428T000000;450000;3;1.75;1;1953
822039084;20150311T000000;1.35e+006;3;2.5;1;1953
5245600105;20140916T000000;228000;3;1;1;1955
7231300125;20150217T000000;345000;5;2.5;1;1966
7518505990;20141231T000000;600000;3;1.75;1;1950
3626039271;20150205T000000;585000;2;1.75;1;1981
4217401195;20150303T000000;920000;5;2.25;1.5;1927
9822700295;20140512T000000;885000;4;2.5;2;1995
9478500640;20140819T000000;292500;4;2.5;2;2008
2799800710;20150407T000000;301000;3;2.5;2;2003
7922800400;20140827T000000;951000;5;3.25;2;1968
8079040320;20150223T000000;430000;4;3;2;1991
1516000055;20141210T000000;650000;3;2.25;1;1959
9558200045;20140828T000000;289000;3;1.75;1;1954
5072410070;20141021T000000;505000;3;1.75;2;1973
9528102996;20141207T000000;549000;3;1.75;3;2014
1189001180;20140603T000000;425000;3;2.25;1;1979
3253500160;20141120T000000;317625;3;2.75;1.5;1925
3394100030;20140909T000000;975000;4;2.5;2;1989
3717000160;20141009T000000;287000;4;2.5;2;2005
1274500060;20140825T000000;204000;3;1;1;1968
1802000060;20140612T000000;1,33E+09;5;2.25;1;1965
1525059190;20140912T000000;1.04e+006;5;3.25;1;1973
1049000060;20150105T000000;325000;3;2;1;1972
8820901275;20140610T000000;571000;4;2;1.5;1916
5416510140;20140710T000000;360000;4;2.5;2;2005
3444100400;20150316T000000;349000;3;1.75;1;1965
3276920270;20141105T000000;832500;4;4;2;1986
4036801170;20141013T000000;380000;4;1.75;1;1956
2391600320;20150420T000000;480000;3;1;1;1941
6300000287;20140609T000000;410000;3;1;1;1956
1531000030;20150323T000000;720000;4;2.5;2;2002
5104520400;20141202T000000;390000;3;2.5;2;2003
7437100340;20141222T000000;360000;4;2.5;2;1992
9418400240;20141028T000000;355000;2;1;1;1948
1523059105;20150128T000000;356000;3;1.5;1;1964
1133000671;20140602T000000;315000;3;1;1;1952
4232902595;20141114T000000;940000;3;1.5;2;1925
2599001200;20141103T000000;305000;5;2.25;1.5;1961
3342103156;20140618T000000;461000;3;3.25;2;2006
1332700270;20140519T000000;215000;2;2.25;2;1979
3869900162;20140904T000000;335000;2;1.75;2;2006
2791500270;20140522T000000;243500;4;2.5;2;1988
5036300431;20150311T000000;1,10E+11;5;2.75;2;2001
4168000060;20150226T000000;153000;3;1;1;1962
6021501535;20140725T000000;430000;3;1.5;1;1939
6021501535;20141223T000000;700000;3;1.5;1;1939
1483300570;20140908T000000;905000;4;2.5;1;1946
3422049190;20150330T000000;247500;3;1.75;1;1967
1099611230;20140912T000000;199000;4;1.5;1;1975
722079104;20140711T000000;314000;3;1.75;1;1980
7338200240;20140516T000000;437500;3;2.5;2;1992
1952200240;20140611T000000;850830;3;2.5;1.5;1910
5200100125;20141027T000000;555000;3;2;1.5;1929
7214720075;20141212T000000;699950;3;2.25;2;1983
2450000295;20141007T000000;1,09E+09;3;2.5;2;1950
6197800045;20140924T000000;290000;3;1;1;1954
1328310370;20150402T000000;375000;3;2.5;1;1978
546000875;20140523T000000;460000;3;1;1.5;1939
3530510041;20140723T000000;188500;2;1.75;1;1985
1853000400;20150305T000000;680000;4;2.5;2;1991
3134100116;20140827T000000;470000;5;1.75;2;1942
9545230140;20140725T000000;597750;4;2.5;2;1984
3362400511;20150304T000000;570000;3;1.75;1;1905
2525310310;20140916T000000;272500;3;1.75;1;1980
6126500060;20141124T000000;329950;3;1.75;1;1971
8961960160;20141028T000000;480000;4;2.5;2;2001
3626039325;20141121T000000;740500;3;3.5;2;1900
3362400431;20140626T000000;518500;3;3.5;3;2010
4060000240;20140623T000000;205425;2;1;1;1945
3454800060;20150108T000000;171800;4;2;1;1950
1695900060;20150511T000000;535000;4;1;1.5;1925
7278700070;20150102T000000;660000;3;2.5;1;1964
6675500070;20141119T000000;391500;3;2;1;1987
3626039187;20150406T000000;395000;2;1;1;1953
3524049083;20141104T000000;445000;4;1.75;1.5;1924
3275860240;20140618T000000;770000;3;2.25;2;1990
4389200955;20150302T000000;1.45e+006;4;2.75;1.5;1914
4058801670;20140717T000000;445000;3;2.25;1;1967
8732020310;20140717T000000;260000;4;2.25;1;1978
2331300505;20140613T000000;822500;5;3.5;2;1926
7853210060;20150406T000000;430000;4;2.5;2;2004
3668000070;20150105T000000;212000;3;1.75;1;1986
9545240070;20150428T000000;660500;4;2.25;1;1986
1243100136;20140612T000000;784000;3;3.5;1.5;1989
8929000270;20140512T000000;453246;3;2.5;2;2014
2767602356;20150126T000000;675000;4;3.5;3;2005
921049315;20140813T000000;199000;3;1.75;1;1956
3655000070;20140805T000000;220000;4;1.75;1;1968
4027700812;20140529T000000;452000;4;2.25;1;1968
3992700335;20140707T000000;382500;2;1;1;1981
2767603505;20140507T000000;519950;3;2.25;3;2014
4232901525;20140627T000000;665000;2;1;1;1925
1777500060;20140708T000000;527700;5;2.5;1;1968
1432900240;20150508T000000;205000;3;1;1;1962
6140100875;20150415T000000;420000;3;1;1;1923
6071600370;20150227T000000;500000;4;2.25;1;1961
1526069017;20141203T000000;921500;4;2.5;2;1994
809001525;20140625T000000;890000;4;1;2;1905
3224079105;20140806T000000;430000;2;2.5;2;2007
8075400570;20141030T000000;258000;5;2;1;1960
1994200024;20141104T000000;511000;3;1;1;1947
3362900810;20140820T000000;532170;3;2;2;1990
1324300398;20150409T000000;560000;3;1;1.5;1947
537000445;20150331T000000;282950;3;1;1;1954
7855801670;20150401T000000;2.25e+006;4;3.25;2;2006
7920100045;20140516T000000;350000;1;1;1;1942
8960000030;20140728T000000;215000;3;1;1;1967
6388930390;20141120T000000;650000;5;3.5;2;1996
8731900200;20140807T000000;320000;4;2.75;1;1967
8029200135;20141113T000000;247000;3;2;1.5;1916
1081200350;20141003T000000;320000;4;1.75;1;1968
84000105;20140507T000000;255000;5;2.25;1;1962
3756500060;20150309T000000;438000;3;1.75;1;1962
7215720160;20150304T000000;900000;3;2.5;2;2000
3574800520;20140620T000000;441000;3;2.75;1;1979
2617300160;20140812T000000;420000;3;2;1;1975
2558660270;20141208T000000;370000;3;1.75;1;1976
2009000370;20150219T000000;269950;2;1.75;1;1949
1836980160;20150324T000000;807100;4;2.5;2;1999
3261020370;20140605T000000;653000;3;2.5;1;1979
1755700060;20140611T000000;371500;3;2;1;1964
4330600435;20150316T000000;284000;3;1.75;1;1954
9542800700;20150102T000000;272000;3;1.75;1;1978
1999700045;20140502T000000;313000;3;1.5;1.5;1955
1762600070;20150116T000000;917500;4;2.5;2;1984
1687900520;20140929T000000;673000;4;2.25;2;1980
7234600798;20150210T000000;425000;3;2.5;2;2008
3881900445;20140709T000000;399950;5;2.75;1;1986
2254502445;20140530T000000;385000;3;1;1;1901
5437810320;20141117T000000;269950;3;1.5;1;1975
9158100075;20150107T000000;330000;2;1;1;1949
3830630310;20140725T000000;260000;3;2.5;2;1988
8123100045;20150414T000000;470000;4;3;1.5;1925
3127200041;20140613T000000;589000;4;3;2;1961
6661200320;20140723T000000;163500;2;1.5;2;1996
11510310;20140905T000000;835000;4;2.75;2;1993
825059270;20141121T000000;1,10E+09;5;3;1;1986
8731951370;20150415T000000;269000;4;1.75;1;1969
1954440060;20140505T000000;560000;3;2.5;2;1987
2264500350;20150418T000000;615000;4;1;1.5;1901
1115810060;20141205T000000;585188;3;2.25;1;1975
9477200200;20140818T000000;305000;3;1.75;1;1977
1432600560;20141105T000000;166950;3;1;1;1959
2287000060;20140912T000000;799000;3;2.5;1;1959
3663500060;20140625T000000;400000;3;2.5;1;1962
3996900125;20141201T000000;230000;3;1;1;1948
7796450200;20140515T000000;256883;3;2.5;2;2003
7549802535;20141111T000000;423000;4;2;1.5;1920
3278600320;20140723T000000;465000;3;2.5;2;2007
2824079053;20150113T000000;440000;3;2.5;2;1997
1222069094;20141014T000000;385000;3;1.75;1;1969
3542300060;20150311T000000;210000;3;1;1;1943
2222059065;20141112T000000;297000;3;2.5;2;1994
7551300060;20140716T000000;470000;3;1;1;1952
100600550;20140804T000000;226500;3;1.5;1;1976
3211100860;20150303T000000;274250;3;1;1;1962
3456000310;20140804T000000;840000;4;1.75;1;1966
9526600140;20140919T000000;677900;3;2.5;2;2010
7465900060;20150205T000000;425000;3;1;1;1915
1222000055;20141123T000000;180250;2;0.75;1;1941
6300000550;20140717T000000;464000;6;3;2;1920
2310030510;20150422T000000;320000;4;2.25;2;1993
1025049114;20140717T000000;625504;3;2.25;2;2014
8677300550;20140515T000000;592500;4;2.5;1;1983
4014400292;20150114T000000;465000;3;2.5;2;2005
1102000196;20140527T000000;477000;4;2.75;2;1978
257000138;20150115T000000;280000;2;1;1;1923
46100204;20150221T000000;1,51E+09;5;3;1;1957
1909600046;20140703T000000;445838;3;2.5;2;2000
1250202145;20140828T000000;1,07E+09;2;2.25;1;1947
7611200125;20141023T000000;467000;2;1.5;1;1947
5611500140;20140822T000000;686000;4;2.5;2;1999
7138000260;20140605T000000;279950;3;2;1;1961
626059335;20140904T000000;527000;4;2.25;2;1987
1922059282;20140918T000000;325000;3;2.25;1;1966
